Employee_ID,Employee_Email,Azure,Data_Bricks,Function_App,App_Service,Power_App,
1000,1000@gmail.com,TRUE ,FALSE,FALSE,TRUE ,TRUE ,
1001,1001@gmail.com,FALSE,TRUE ,TRUE ,TRUE ,TRUE ,
1002,1002@gmail.com,TRUE ,TRUE ,FALSE,FALSE,FALSE,
1003,1003@gmail.com,FALSE,FALSE,FALSE,TRUE ,TRUE ,
1004,1004@gmail.com,TRUE ,TRUE ,TRUE ,FALSE,FALSE,
1005,1005@gmail.com,FALSE,TRUE ,TRUE ,TRUE ,TRUE ,
1006,1006@gmail.com,FALSE,TRUE ,FALSE,FALSE,FALSE,
1007,1007@gmail.com,TRUE ,FALSE,TRUE ,FALSE,FALSE,
1008,1008@gmail.com,TRUE ,FALSE,FALSE,FALSE,TRUE ,
1009,1009@gmail.com,TRUE ,TRUE ,TRUE ,TRUE ,TRUE ,
1010,1010@gmail.com,FALSE,FALSE,FALSE,FALSE,TRUE ,
1011,1011@gmail.com,TRUE ,TRUE ,FALSE,FALSE,TRUE ,
1012,1012@gmail.com,TRUE ,FALSE,TRUE ,TRUE ,FALSE,
1013,1013@gmail.com,TRUE ,FALSE,TRUE ,FALSE,TRUE ,
1014,1014@gmail.com,TRUE ,TRUE ,TRUE ,TRUE ,FALSE,
1015,1015@gmail.com,FALSE,FALSE,TRUE ,TRUE ,TRUE ,
1016,1016@gmail.com,TRUE ,FALSE,FALSE,TRUE ,FALSE,
1017,1017@gmail.com,FALSE,TRUE ,TRUE ,TRUE ,FALSE,
1018,1018@gmail.com,TRUE ,TRUE ,TRUE ,FALSE,TRUE ,
1019,1019@gmail.com,FALSE,TRUE ,TRUE ,FALSE,TRUE ,
1020,1020@gmail.com,FALSE,FALSE,TRUE ,TRUE ,TRUE ,
1021,1021@gmail.com,TRUE ,TRUE ,FALSE,FALSE,FALSE,
1022,1022@gmail.com,TRUE ,TRUE ,TRUE ,TRUE ,FALSE,
1023,1023@gmail.com,FALSE,TRUE ,FALSE,FALSE,TRUE ,
1024,1024@gmail.com,TRUE ,FALSE,TRUE ,FALSE,FALSE,
1025,1025@gmail.com,FALSE,TRUE ,FALSE,TRUE ,TRUE ,
1026,1026@gmail.com,TRUE ,FALSE,FALSE,FALSE,FALSE,
1027,1027@gmail.com,FALSE,TRUE ,TRUE ,FALSE,TRUE ,
1028,1028@gmail.com,FALSE,FALSE,TRUE ,TRUE ,FALSE,
1029,1029@gmail.com,FALSE,FALSE,TRUE ,TRUE ,FALSE,
1030,1030@gmail.com,TRUE ,FALSE,TRUE ,TRUE ,FALSE,
1031,1031@gmail.com,FALSE,TRUE ,FALSE,FALSE,TRUE ,
1032,1032@gmail.com,FALSE,FALSE,TRUE ,TRUE ,FALSE,
1033,1033@gmail.com,TRUE ,FALSE,TRUE ,TRUE ,FALSE,
1034,1034@gmail.com,FALSE,TRUE ,TRUE ,FALSE,TRUE ,
1035,1035@gmail.com,TRUE ,FALSE,FALSE,TRUE ,FALSE,
1036,1036@gmail.com,FALSE,TRUE ,TRUE ,FALSE,TRUE ,
1037,1037@gmail.com,TRUE ,TRUE ,FALSE,TRUE ,FALSE,
1038,1038@gmail.com,FALSE,FALSE,TRUE ,FALSE,FALSE,
1039,1039@gmail.com,TRUE ,TRUE ,FALSE,FALSE,TRUE ,
1040,1040@gmail.com,FALSE,FALSE,FALSE,TRUE ,TRUE ,
1041,1041@gmail.com,FALSE,TRUE ,FALSE,FALSE,TRUE ,
1042,1042@gmail.com,TRUE ,FALSE,TRUE ,FALSE,TRUE ,
1043,1043@gmail.com,FALSE,FALSE,FALSE,TRUE ,TRUE ,
1044,1044@gmail.com,FALSE,TRUE ,FALSE,TRUE ,FALSE,
1045,1045@gmail.com,TRUE ,TRUE ,TRUE ,TRUE ,TRUE ,
1046,1046@gmail.com,TRUE ,TRUE ,FALSE,FALSE,FALSE,
1047,1047@gmail.com,TRUE ,TRUE ,TRUE ,TRUE ,TRUE ,
1048,1048@gmail.com,FALSE,FALSE,TRUE ,TRUE ,FALSE,
1049,1049@gmail.com,TRUE ,TRUE ,TRUE ,TRUE ,FALSE,
1050,1050@gmail.com,TRUE ,FALSE,TRUE ,FALSE,TRUE ,
