Employee_ID,Employee_Email,Big_Query,Analytics_Hub,Cloud_Amount
1000,1000@gmail.com,FALSE,FALSE,FALSE
1001,1001@gmail.com,TRUE,TRUE,FALSE
1002,1002@gmail.com,TRUE,TRUE,TRUE
1003,1003@gmail.com,TRUE,TRUE,TRUE
1004,1004@gmail.com,FALSE,FALSE,TRUE
1005,1005@gmail.com,FALSE,FALSE,FALSE
1006,1006@gmail.com,TRUE,FALSE,TRUE
1007,1007@gmail.com,TRUE,FALSE,FALSE
1008,1008@gmail.com,FALSE,FALSE,FALSE
1009,1009@gmail.com,TRUE,TRUE,TRUE
1010,1010@gmail.com,FALSE,FALSE,FALSE
1011,1011@gmail.com,FALSE,TRUE,FALSE
1012,1012@gmail.com,FALSE,TRUE,FALSE
1013,1013@gmail.com,TRUE,TRUE,TRUE
1014,1014@gmail.com,FALSE,TRUE,FALSE
1015,1015@gmail.com,FALSE,FALSE,TRUE
1016,1016@gmail.com,TRUE,FALSE,FALSE
1017,1017@gmail.com,TRUE,TRUE,TRUE
1018,1018@gmail.com,TRUE,TRUE,FALSE
1019,1019@gmail.com,FALSE,FALSE,TRUE
1020,1020@gmail.com,FALSE,TRUE,FALSE
1021,1021@gmail.com,FALSE,FALSE,FALSE
1022,1022@gmail.com,TRUE,TRUE,FALSE
1023,1023@gmail.com,FALSE,FALSE,FALSE
1024,1024@gmail.com,FALSE,FALSE,TRUE
1025,1025@gmail.com,TRUE,TRUE,FALSE
1026,1026@gmail.com,FALSE,TRUE,FALSE
1027,1027@gmail.com,FALSE,FALSE,FALSE
1028,1028@gmail.com,TRUE,FALSE,TRUE
1029,1029@gmail.com,TRUE,TRUE,FALSE
1030,1030@gmail.com,TRUE,TRUE,FALSE
1031,1031@gmail.com,TRUE,FALSE,FALSE
1032,1032@gmail.com,TRUE,TRUE,TRUE
1033,1033@gmail.com,FALSE,FALSE,FALSE
1034,1034@gmail.com,TRUE,TRUE,TRUE
1035,1035@gmail.com,TRUE,FALSE,FALSE
1036,1036@gmail.com,FALSE,FALSE,FALSE
1037,1037@gmail.com,FALSE,TRUE,FALSE
1038,1038@gmail.com,FALSE,TRUE,FALSE
1039,1039@gmail.com,TRUE,FALSE,FALSE
1040,1040@gmail.com,FALSE,TRUE,TRUE
1041,1041@gmail.com,FALSE,TRUE,TRUE
1042,1042@gmail.com,TRUE,FALSE,TRUE
1043,1043@gmail.com,FALSE,TRUE,FALSE
1044,1044@gmail.com,FALSE,FALSE,FALSE
1045,1045@gmail.com,TRUE,TRUE,TRUE
1046,1046@gmail.com,TRUE,FALSE,FALSE
1047,1047@gmail.com,TRUE,FALSE,FALSE
1048,1048@gmail.com,TRUE,FALSE,FALSE
1049,1049@gmail.com,FALSE,TRUE,TRUE
1050,1050@gmail.com,TRUE,TRUE,TRUE
